"","binlat","binlon","Latitude","Longitude","absLatitude","CP","NP","CN","logCP","logNP","logCN","POCavg_uM","PONavg_uM","POPavg_nM","DIN","Phosphate","Temperature","Nutricline_1uM_Interp","sp_Nutlim_CESM2","region","area_weights"
"158","[19,20)","[-63,-62)",19.5,-62.5,19.5,193.979461882392,42.5723442497203,4.55646653481307,5.26775228687346,3.75120484644039,1.51654744043307,1.4553571,0.31940476,7.502635,0.13252340972051,0.0175720155853778,28.3469536714554,165,"PN-colim","Subtropical",0.942641491092178
"159","[19,20)","[-60,-59)",19.5,-59.5,19.5,95.9018076789513,20.6090629805911,4.65338030017515,4.56332483133584,3.02573092955981,1.53759390177603,1.5774405,0.33898809,16.448496,0.162679301407188,0.023075746233575,26.8275435142517,154,"PN-colim","Subtropical",0.942641491092178
"160","[19,20)","[-57,-56)",19.5,-56.5,19.5,108.437828168847,22.1170335408981,4.90291014698367,4.68617699647756,3.09634806010658,1.58982893637098,2.3566071,0.48065476,21.732334,0.0957647676132619,0.0184704484185204,26.8675174503326,145,"PN-colim","Subtropical",0.942641491092178
"161","[19,20)","[-54,-53)",19.5,-53.5,19.5,209.897133656073,41.5364061925014,5.05332918508404,5.34661757097381,3.72657030032169,1.62004727065212,1.9741071,0.39065476,9.405117,0.0582084085084498,0.0139944184417836,27.5342321586609,144,"PN-colim","Subtropical",0.942641491092178
"162","[19,20)","[-51,-50)",19.5,-50.5,19.5,210.35534623557,34.3829978630797,6.11800480787768,5.34879822561833,3.53756219403218,1.81123603158615,1.7374405,0.28398809,8.25955,0.0602093125563115,0.0174928927326109,27.5139839954376,155,"PN-colim","Subtropical",0.942641491092178
"163","[19,20)","[-48,-47)",19.5,-47.5,19.5,81.898135931137,12.9092500668742,6.34414357974923,4.40547623029643,2.55794411385094,1.84753211644548,1.7699405,0.27898809,21.611487,0.0729588197246194,0.01859951114656,26.6427762565613,158,"PN-colim","Subtropical",0.942641491092178
"164","[19,20)","[-45,-44)",19.5,-44.5,19.5,62.3901642259713,11.5230510840172,5.41437886294786,4.13340763836753,2.44434947124406,1.68905816712347,1.8782738,0.34690476,30.105287,0.0763274045549333,0.0179771042206557,25.7474382514954,159,"PN-colim","Subtropical",0.942641491092178
"165","[20,21)","[-66,-65)",20.5,-65.5,20.5,125.001177164802,23.6488713555031,5.28571428571429,4.82832315457637,3.16331539098746,1.66500776358891,1.48,0.28,11.8398885,0.0455550748333335,0.00601296564983204,28.6276928977966,174,"P-lim","Subtropical",0.936672189248398
"166","[21,22)","[-66,-65)",21.5,-65.5,21.5,160.167130425649,30.9382817211661,5.17698855641593,5.07621783521556,3.43199430776455,1.64422352745102,1.62705355,0.314285715,10.1584735,0.0450876352973282,0.00667573735816404,28.0616868448257,169,"P-lim","Subtropical",0.930417567982025
"167","[21,22)","[-48,-47)",21.5,-47.5,21.5,57.3388137199182,13.9599680641707,4.10737427595429,4.0489777717152,2.63619380966476,1.41278396205044,1.3957738,0.33982143,24.342565,0.018726368161384,0.0109277556827583,25.7547947063446,159,"PN-colim","Subtropical",0.930417567982025
"168","[22,23)","[-158,-157)",22.5,-157.5,22.5,159.013009957347,22.9876945009227,6.91731003955027,5.06898602250398,3.13495905105496,1.93402697144902,2.13731681538462,0.308980919340659,13.4411443186813,0.0358045377507806,0.0922189010307193,26.696289352417,142,"N-lim","Subtropical",0.923879532511287
"169","[22,23)","[-66,-65)",22.5,-65.5,22.5,196.891742820434,33.1719784099644,5.93548387096774,5.2826540488614,3.50170549573756,1.78094855312384,1.84,0.31,9.345237,0.0625103432424366,0.00683230886608362,27.1206253528595,159,"P-lim","Subtropical",0.923879532511287
"170","[22,23)","[-50,-49)",22.5,-49.5,22.5,77.6395724718244,13.2343210786122,5.86653232989009,4.35207725174037,2.58281353694073,1.76926371479964,1.7320238,0.29523809,22.308518,0.0279767104005441,0.0115762002835982,26.0359690408707,160,"P-lim","Subtropical",0.923879532511287
"171","[23,24)","[-66,-65)",23.5,-65.5,23.5,70.4652113251688,16.5800497235691,4.25,4.25511913164797,2.80820014871165,1.44691898293633,0.68,0.16,9.650152,0.0945802473574877,0.00867642767867073,26.8800795707703,155,"P-lim","Subtropical",0.917060074385124
"172","[24,25)","[-53,-52)",24.5,-52.5,24.5,78.5022161046053,13.8184348603507,5.68097739707497,4.3631268550218,2.62600356014246,1.73712329487934,1.4807738,0.26065476,18.862828,0.109533691927791,0.0121995790507644,26.101394200325,165,"P-lim","Subtropical",0.909961270876543
"173","[25,26)","[-55,-54)",25.5,-54.5,25.5,94.0239629272821,15.883692009568,5.91952820985473,4.54354967454053,2.76529292310167,1.77825675143886,1.7032738,0.2877381,18.115316,0.0833980219662189,0.00720563442003913,25.864219203949,159,"P-lim","Subtropical",0.902585284349861
"174","[27,28)","[-64,-63)",27.5,-63.5,27.5,257.033817456968,32.446666326904,7.92173269411785,5.54920766167429,3.47959770526578,2.06960995640851,1.7954501,0.22664866,6.985268,0.0594586410205811,0.001805662479077,24.0736747684479,144,"P-lim","Subtropical",0.887010833178222
"175","[27,28)","[-62,-61)",27.5,-61.5,27.5,163.527539276993,17.2479621876043,9.48097737566449,5.09698141209848,2.84769400244706,2.24928740965141,1.2494598,0.13178597,7.640669,0.0567651751060039,0.00267666565638501,23.201962225914,137,"P-lim","Subtropical",0.887010833178222
"176","[27,28)","[-58,-57)",27.5,-57.5,27.5,81.7972758737753,16.7697253320882,4.87767534971247,4.40424394077758,2.81957519717315,1.58466874360443,1.4786905,0.30315476,18.077503,0.0710666520129889,0.00786202213680372,23.9997734670639,143,"P-lim","Subtropical",0.887010833178222
"177","[28,29)","[-66,-65)",28.5,-65.5,28.5,225.705777122122,38.6781939922678,5.83547869808096,5.41923227996078,3.65527597849886,1.76395630146192,2.1297236,0.36496125,9.43584,0.106692853368819,0.00546506746509112,25.1710990304947,144,"P-lim","Subtropical",0.878817112661965
"178","[28,29)","[-65,-64)",28.5,-64.5,28.5,298.061890964044,41.9949743282673,7.09756097560976,5.69730115274008,3.7375499522729,1.95975120046718,2.91,0.41,9.763073,0.0704196865875274,0.00212930310197407,24.1504329328537,138,"P-lim","Subtropical",0.878817112661965
"179","[28,29)","[-61,-60)",28.5,-60.5,28.5,220.03844557082,37.9585147322188,5.79681389335431,5.39380228367954,3.63649384579549,1.75730843788405,1.7114038,0.2952318,7.777749,0.0585009414646775,0.00385956514638383,22.6736933403015,125,"P-lim","Subtropical",0.878817112661965
"180","[29,30)","[-66,-65)",29.5,-65.5,29.5,184.820307001225,31.4922424506643,5.86875664033021,5.21938403954079,3.44974124409432,1.76964279544646,1.5185426,0.25875031,8.216319,0.0766928579770029,0.00596549066598527,24.9440240154266,147,"P-lim","Subtropical",0.8703556959399
"181","[29,30)","[-65,-64)",29.5,-64.5,29.5,190.471150018277,36.3494561103581,5.24,5.24950073962442,3.59317924129147,1.65632149833295,1.31,0.25,6.877682,0.0475393094196916,0.00269933045643847,23.8753142881393,138,"P-lim","Subtropical",0.8703556959399
"182","[29,30)","[-61,-60)",29.5,-60.5,29.5,80.4642517248917,13.1447007852391,6.12142132708335,4.38781300784105,2.57601869529357,1.81179431254748,1.7945238,0.29315476,22.302125,0.0689406563974917,0.00540385389921721,22.5107811498642,119,"P-lim","Subtropical",0.8703556959399
"183","[30,31)","[-66,-65)",30.5,-65.5,30.5,198.739827440734,31.6145324319554,6.28634403714448,5.29199656953643,3.45361690196441,1.83837966757202,1.4165686,0.22534061,7.127754,0.031540633764118,0.0056315399245359,24.7563490886688,147,"PN-colim","Subtropical",0.861629160441526
"184","[30,31)","[-65,-64)",30.5,-64.5,30.5,170.770784701614,26.1665701025713,6.52629611111444,5.14032221696744,3.26448264576585,1.87583957120159,2.07559525,0.318035715,12.154276,0.0189838992876466,0.00368784992629662,23.9195689592361,134,"PN-colim","Subtropical",0.861629160441526
"185","[30,31)","[-11,-10)",30.5,-10.5,30.5,49.6653063873632,9.19148177100985,5.4034058517103,3.90530662872839,2.2182771606945,1.68702946803389,11.860786,2.1950574,238.8143125,0.694135337680578,0.0816521671675146,18.1586486587524,59,"PN-colim","Subtropical",0.861629160441526
"186","[30,31)","[-10,-9)",30.5,-9.5,30.5,89.5752895752896,14.1698841698842,6.32152588555858,4.49507949595486,2.65111887934908,1.84396061660579,23.2,3.67,259,NA,NA,NA,NA,NA,"Subtropical",0.861629160441526
"187","[31,32)","[-66,-65)",31.5,-65.5,31.5,206.258677079838,32.6185083287074,6.32336325748871,5.32913109501997,3.4848798674136,1.84425122760637,2.239777,0.3542066,10.859068,0.0229843428041786,0.00640393897681497,24.3069911108017,139,"PN-colim","Subtropical",0.852640164354092
"188","[31,32)","[-65,-64)",31.5,-64.5,31.5,196.092618119446,32.0570389426431,6.11699098192747,5.27858708904372,3.46751678304832,1.8110703059954,2.17371618979592,0.355357102244898,11.0851505306122,0.0210903930373606,0.00587083711777814,23.864896443367,127,"PN-colim","Subtropical",0.852640164354092
"189","[31,32)","[-64,-63)",31.5,-63.5,31.5,376.104442410589,47.6789737925936,7.88826630469576,5.92986687718688,3.86449049971913,2.06537637746775,2.84916666666667,0.361190476666667,7.57546666666667,0.0462485787542537,0.00697988172085024,23.5070199613571,115,"PN-colim","Subtropical",0.852640164354092
"190","[31,32)","[-10,-9)",31.5,-9.5,31.5,97.0695970695971,15.3479853479853,6.32458233890215,4.57542821678935,2.73098421773122,1.84444399905813,17.6666666666667,2.79333333333333,182,NA,NA,NA,NA,NA,"Subtropical",0.852640164354092
"191","[33,34)","[-63,-62)",33.5,-62.5,33.5,276.156152095382,31.469446873757,8.77537356163937,5.62096647419204,3.44901713461924,2.1719493395728,2.4465745,0.27880004,8.859388,0.187136654414237,0.0130139744151384,21.7463885622025,86,"PN-colim","Subtropical",0.833885822067168
"192","[33,34)","[-59,-58)",33.5,-58.5,33.5,157.013256017213,19.9424122173929,7.87333319087009,5.05633023501468,2.99284873100797,2.06348150400671,3.6254309,0.46046964,23.089967,0.521831865489483,0.0223051439858973,20.6033521957397,78,"Fe-lim","Subtropical",0.833885822067168
"193","[33,34)","[21,22)",33.5,21.5,33.5,313.745850984306,34.8657511640623,8.99868324958672,5.74858326640415,3.55150500537312,2.19707826103104,3.1134375,0.34598812,9.923438,0.179020210534334,0.0060193750851322,22.2990332765579,129,"P-lim","Subtropical",0.833885822067168
"194","[33,34)","[22,23)",33.5,22.5,33.5,167.987140338346,17.128786756075,9.80729941534047,5.12388743086841,2.84076048414622,2.28312694672219,2.65790342,0.271012774,15.8220648,0.156941157013178,0.00544882450415753,22.2724369630814,129,"P-lim","Subtropical",0.833885822067168
"195","[34,35)","[-62,-61)",34.5,-61.5,34.5,139.103963523285,14.6594451762055,9.48903330591741,4.93522159258013,2.68508484964447,2.25013674293566,2.9676964,0.31275013,21.334377,0.229265318445861,0.0117509901402518,21.2116660060883,79,"Fe-lim","Subtropical",0.824126188622016
"196","[34,35)","[-58,-57)",34.5,-57.5,34.5,183.440965101953,40.551862811196,4.52361377222126,5.21189289966726,3.7025817181301,1.50931118153716,3.4410878,0.76069443,18.758557,0.487154490187764,0.0171456476408057,20.836701757431,75,"Fe-lim","Subtropical",0.824126188622016
"197","[35,36)","[-143,-142)",35.5,-142.5,35.5,247.849882720876,29.7107114933542,8.34210526315789,5.51282325128058,3.39150763712968,2.12131561415089,3.17,0.38,12.79,0.598044831767678,0.110828355558217,21.2239486932754,28,"Fe-lim","Subtropical",0.814115518356319
"198","[35,36)","[-61,-60)",35.5,-60.5,35.5,175.358800104551,19.1185952933114,9.17215922060445,5.16683416126676,2.95066143700131,2.21617272426544,3.4524609,0.37640656,19.687982,0.167766310147941,0.00739798681321554,21.650976111412,78,"Fe-lim","Subtropical",0.814115518356319
"199","[35,36)","[-57,-56)",35.5,-56.5,35.5,199.985280873403,38.8874762603136,5.14266545698921,5.29824376820676,3.66067225175269,1.63757151645407,4.3178732,0.83961775,21.590955,0.294586855754256,0.00990331206750125,21.5433200550079,71,"Fe-lim","Subtropical",0.814115518356319
"200","[35,36)","[18,19)",35.5,18.5,35.5,254.603657186261,30.6592269397143,8.30430779245972,5.5397080504595,3.42293365915692,2.11677439130258,2.0004688,0.24089531,7.857188,0.0526656427215785,0.00687518728058785,18.6255666389465,115,"P-lim","Subtropical",0.814115518356319
"201","[36,37)","[-57,-56)",36.5,-56.5,36.5,217.352318333935,36.3678037167851,5.97650383362631,5.38151962374063,3.59368386995487,1.78783575378576,3.7654709,0.63004576,17.324273,0.128673167396337,0.00662682766583748,22.4559275560379,74,"Fe-lim","Subtropical",0.803856860617217
"202","[36,37)","[-6,-5)",36.5,-5.5,36.5,111.616954474097,18.1770016396302,6.14055919050729,4.71507296021917,2.90015714883452,1.81491581138465,3.999375,0.65130469,35.83125,NA,NA,NA,NA,NA,"Subtropical",0.803856860617217
"203","[36,37)","[-1,0)",36.5,-0.5,36.5,78.6529212703496,17.5590473445423,4.47933875494655,4.3650447714763,2.86556933528555,1.49947543619075,1.8419531,0.41121094,23.41875,0.461234277755022,0.0425968363471329,17.1212152633667,35,NA,"Subtropical",0.803856860617217
"204","[36,37)","[13,14)",36.5,13.5,36.5,85.746095,19.244672,4.45557580820291,4.4513905456505,2.95723424320258,1.49415630244792,1.7149219,0.38489344,20,0.0259962573889643,0.00768128798808902,19.6525365943909,98,"P-lim","Subtropical",0.803856860617217
"205","[37,38)","[-56,-55)",37.5,-55.5,37.5,206.262586391127,43.7975164978354,4.70945850094767,5.32915004827952,3.77957711481218,1.54957293346734,3.3672722,0.71500199,16.325172,0.0743133142925799,0.0135390169718303,22.7594917240143,77,"Fe-lim","Subtropical",0.793353340291235
"206","[37,38)","[8,9)",37.5,8.5,37.5,140.394665149665,15.0388070132641,9.33549217207446,4.94445749336028,2.71063399444903,2.23382349891125,2.7946875,0.29936156,19.905938,NA,0.00657135062804446,18.268047753334,61,"P-lim","Subtropical",0.793353340291235
"207","[37,38)","[15,16)",37.5,15.5,37.5,285.375775475719,41.1478699287525,6.93537176942201,5.65380682223819,3.71717216220499,1.9366346600332,3.613125,0.52097063,12.660938,0.0417616534531116,0.00495563432038762,17.6728236646652,89,NA,"Subtropical",0.793353340291235
"208","[38,39)","[3,4)",38.5,3.5,38.5,149.169335468375,31.8989360377191,4.67631068609902,5.00508214029485,3.46257265618501,1.54250948410984,1.6768125,0.35857594,11.241,0.0623547064736485,0.00396413801331073,16.8152641882896,39,"P-lim","Subtropical",0.782608156852414
"209","[43,44)","[4,5)",43.5,4.5,43.5,288.723404255319,32.5531914893617,8.86928104575163,5.66546915111886,3.48287541267642,2.18259373844243,6.785,0.765,23.5,NA,NA,NA,NA,NA,"Subtropical",0.725374371012288
"210","[43,44)","[5,6)",43.5,5.5,43.5,167.885316184352,19.3569131832797,8.67314507198228,5.12328110453747,2.96304962612363,2.16023147841384,6.81030434782609,0.785217391304348,40.5652173913044,NA,NA,NA,NA,NA,"Subtropical",0.725374371012288
"211","[43,44)","[7,8)",43.5,7.5,43.5,245.404975430325,26.3686376846041,9.30669905535579,5.50290980684848,3.27217533746847,2.23073446938001,3.730125,0.400800002,15.1998752,1.11259066048264,0.0481622572336346,14.0486929540634,12,NA,"Subtropical",0.725374371012288
"212","[48,49)","[-16,-15)",48.5,-15.5,48.5,156.857142857143,20.7619047619048,7.55504587155963,5.05533547301416,3.03311980562561,2.02221566738855,16.47,2.18,105,1.21396799749136,0.161224594153464,14.8737515425682,16,"Fe-lim","Subpolar",0.662620048215738
"213","[48,49)","[-14,-13)",48.5,-13.5,48.5,218.273381294964,26.9064748201439,8.11229946524064,5.38574831977183,3.29236695727789,2.09338136249395,15.17,1.87,69.5,1.44997974711657,0.17655443803966,15.2385174546242,0,"Fe-lim","Subpolar",0.662620048215738
"214","[48,49)","[163,164)",48.5,163.5,48.5,75.9316239316239,12.4871794871795,6.0807665982204,4.32983325021656,2.52470247695294,1.80513077326362,88.84,14.61,1170,19.8742365903854,1.62409682822227,5.42629849457741,0,"Fe-lim","Subpolar",0.662620048215738
"215","[48,49)","[164,165)",48.5,164.5,48.5,82.7669491525424,13.5466101694915,6.10979042852674,4.41602881687936,2.60613634403423,1.80989247284513,48.8325,7.9925,590,19.9835979061127,1.62512597632408,5.9276948902607,0,"Fe-lim","Subpolar",0.662620048215738
"216","[48,49)","[165,166)",48.5,165.5,48.5,98.6666666666667,13.9333333333333,7.08133971291866,4.59174716565595,2.6342840508626,1.95746311479335,14.8,2.09,150,19.3397706699371,1.59401675885916,6.71530584073067,0,"Fe-lim","Subpolar",0.662620048215738
"217","[49,50)","[-14,-13)",49.5,-13.5,49.5,196.917293233083,25.6390977443609,7.68035190615836,5.28278380928,3.24411844205581,2.0386653672242,13.095,1.705,66.5,1.73636540591717,0.159344572007656,15.0043807249069,0,"Fe-lim","Subpolar",0.649448048330184
"218","[49,50)","[-13,-12)",49.5,-12.5,49.5,139.351851851852,19.0123456790123,7.32954545454545,4.9370020430528,2.94508854073524,1.99191350231757,15.05,2.05333333333333,108,1.97758652573824,0.155269488506019,14.8770376515388,0,"Fe-lim","Subpolar",0.649448048330184
"219","[49,50)","[-12,-11)",49.5,-11.5,49.5,229.574468085106,25.6382978723404,8.95435684647303,5.43622745654212,3.2440872442147,2.19214021232743,14.3866666666667,1.60666666666667,62.6666666666667,2.07160787606239,0.134081459239125,14.5557138395309,0,"Fe-lim","Subpolar",0.649448048330184
"220","[49,50)","[-11,-10)",49.5,-10.5,49.5,292.402597402597,34.4805194805195,8.48022598870057,5.67813161088199,3.54039451182236,2.13773709905963,11.2575,1.3275,38.5,2.00498551774025,0.0972955516278744,14.0622640304565,126,"Fe-lim","Subpolar",0.649448048330184
"221","[54,55)","[-167,-166)",54.5,-166.5,54.5,112.169279132791,15.4143672086721,7.27693051646552,4.72000915107672,2.73530001013367,1.98470914094304,41.390464,5.6879015,369,9.56925256299973,1.09384381997585,7.60076728081703,404,"PN-colim","Subpolar",0.58070295571094
"222","[55,56)","[-169,-168)",55.5,-168.5,55.5,95.3336849673203,12.2261756862745,7.79750654772161,4.55738321061333,2.50357920139324,2.0538040092201,36.4651345,4.6765122,382.5,7.8274316136837,0.992872646361589,8.19822227597237,0,"PN-colim","Subpolar",0.566406236924833
"223","[55,56)","[-167,-166)",55.5,-166.5,55.5,111.653873873874,14.6955666666667,7.59779302196857,4.71540367427068,2.68754586099651,2.02785781327417,37.18074,4.8936237,333,6.5865727660656,0.856028109699488,8.920297498703,152,"PN-colim","Subpolar",0.566406236924833
"224","[55,56)","[-166,-165)",55.5,-165.5,55.5,52.4660498866213,10.6488149659864,4.92693788503268,3.96016629159085,2.36544861516498,1.59471767642587,11.568764,2.3480637,220.5,5.39688065433502,0.747654295772314,9.04503480815887,152,"PN-colim","Subpolar",0.566406236924833
"225","[55,56)","[-164,-163)",55.5,-163.5,55.5,56.591795959596,9.26981656565657,6.10495316263981,4.03586402699288,2.22676359142692,1.80910043556597,14.0064695,2.2942796,247.5,3.13864108526707,0.564179223492742,8.75546526312828,51,"PN-colim","Subpolar",0.566406236924833
"226","[56,57)","[-165,-164)",56.5,-164.5,56.5,53.0259245098039,13.2540735294118,4.00072659866685,3.97078093565573,2.58430494136543,1.3864759942903,5.4086443,1.3519155,102,2.936808614254,0.486114482700825,9.19044171047211,76,"PN-colim","Subpolar",0.551936985312058
"227","[57,58)","[-164,-163)",57.5,-163.5,57.5,42.2691801801802,5.29723933933934,7.97947335818357,3.7440582195522,1.66718580548336,2.07687241406885,14.075637,1.7639807,333,1.81520902007818,0.446436609894037,8.71856720972061,51,"PN-colim","Subpolar",0.537299608346824
"228","[57,58)","[-161,-160)",57.5,-160.5,57.5,69.5477508417508,14.9334390572391,4.65718248657781,4.24201357912262,2.7036029304536,1.53841064866902,20.655682,4.4352314,297,1.72954870423675,0.526392176240683,7.93342849445343,0,"N-lim","Subpolar",0.537299608346824
"229","[58,59)","[-175,-174)",58.5,-174.5,58.5,92.9661240223464,13.8219311173184,6.72598663915079,4.53223516897103,2.62625654210292,1.90597862686811,8.3204681,1.237062835,89.5,5.09872325921059,0.818633720308542,7.14135963916778,152,"PN-colim","Subpolar",0.522498564715949
"230","[58,59)","[-173,-172)",58.5,-172.5,58.5,78.0070390243903,8.89291300813008,8.77182076931087,4.35679906652029,2.1852546683085,2.1715443982118,9.5948658,1.0938283,123,3.20879763913155,0.723098020076752,7.18227983784676,101,"PN-colim","Subpolar",0.522498564715949
"231","[58,59)","[-169,-168)",58.5,-168.5,58.5,93.4893089430894,11.6250739837398,8.04203991078718,4.53784708690234,2.45316431564584,2.0846827712565,11.499185,1.4298841,123,1.10019492170215,0.569588001310825,7.0116566901207,11,"PN-colim","Subpolar",0.522498564715949
"232","[59,60)","[-173,-172)",59.5,-172.5,59.5,85.7229863247863,11.2194914529915,7.64054116748135,4.45112100813184,2.41765257402201,2.03346843410983,10.0295894,1.3126805,117,1.68182906490564,0.659517816215753,6.52597092413902,76,"PN-colim","Subpolar",0.507538362960704
"233","[61,62)","[-174,-173)",61.5,-173.5,61.5,46.7405929460581,8.34256680497925,5.60266330958968,3.84461301508198,2.12137093940027,1.72324207568171,5.63224145,1.0052793,120.5,0.188213159027509,0.515956693872809,5.22883705329895,21,"PN-colim","Subpolar",0.477158760259608
